Name,Address 1,Address 2,Address 3,City,Country,PostCode
Nuffield Hospital Harrogate,Queens Road,,,Harrogate,,HG2 OHF
Nuffield Hospital Haywards Heath,Burrell Road,,,Haywards Heath,,RH16 1UD
Nuffield Hospital Leeds,2 Leighton Street,,,Leeds,,LS1 3EB
Number One Health,1 Harley Street,,,London,,
Oakland Hospital,19 Lancaster Road,,,Salford,,M6 8AQ
Oaks Hospital,Oaks Place,Mile End Road,,Colchester,,CO4 5XR
Orsett Hospital,Rowley Road,,,Orsett,,RM16 3EU
Orthopaedics and Spine Specialist Hospital,1 Stirling Way,Bretton,,Peterborough,,PE3 8YQ
Park Hill Hospital,Thorne Road,,,Doncaster,,DN2 5TH
Pattinson Clinic,The Forge,37 Red Lion Street,,Richmond,,TW9 1RJ
Physio in the City,Cannons Health Club,Stoop Memorial Ground,"Langhorn Drive, Chertsey Road",Twickenham,,TW2 7SX
Physio in the City,Cannons Health Club,Sidmouth Road,Willesden,London,,NW2 5JY
Physio in the City,Cannons Health Club & Spa,Cannons City Club,Cousin Lane,London,,EC4R 3XJ
Physio in the City,Cannons Health Club,Gander Green Lane,,Sutton,,SM1 2EH
Physio in the City,LA Fitness Centre,Royal Oak Centre,Brighton Road,Purley,,CR8 2PG
Physio in the City,Cannons Health Club,Mecklenburgh Place,Bloomsbury,London,,WC1N 2AY
Physio: Chancery Lane,53-64 Chancery Lane,,,London,,WC2A 1QS
Pinehill Hospital,Benslow Lane,,,Hitchin,,SG4 9QZ
Plymouth Nuffield Hospital,Derriford Road,,,Plymouth,,PL6 8BG
Priory Clinic - Nottingham,Ransom Road,,,Nottingham,,NG3 5GS
Priory Hospital London,Priory Lane  ,Roehampton  ,,London,,SW15 5JJ
Purey Cost Nuffield Hospital,Precentor's Court,,,York,,YO1 7EL
Putney Chiropractic Centre,32 Bective Road,Putney,,London,,SW15 2QA
Queen Charlotte's & Chelsea Hospital,Hammersmith Hospitals NHS Trust,Goldhawk Road,,London,,W6 0XG
Queen Elizabeth Hospital,Edgbaston  ,,,Birmingham,,B15 2TH
Queen Elizabeth II Hospital,East and North Hertfordshire NHS Trust,Elizabeth House,Howlands Way,Welwyn Garden City,,AL7 4HQ
Queen's Medical Centre,Derby Rd  ,,,Nottingham,,NG7 2UH
Ravenscourt Park Hospital,Ravenscourt Park,,,London,,W6 0TN
Renacres Hall Hospital,Renacres Lane,,,Ormskirk,,L39 8SE
Rood Lane Medical Group,10 Rood Lane,,,London,,EC3M 8BN
Rowley Hall Hospital,Rowley Park,,,Stafford,,ST17 9AQ
Royal Alexandra Hospital,Corsebar Rd  ,,,Paisley,,PA2 9PN
Royal Berkshire & Battle Hospitals NHS Trust,London Road,,,Reading,,RG1 5AN
Royal Bournemouth Hospital,Castle Ln E  ,,,Bournemouth,,BH7 7DW
Royal Brompton Hospital,Royal Brompton & Harefield NHS Trust,Sydney Street,,London,,SW3 6NP
Royal Cornwall Hospital,Treliske  ,,,Truro,,TR1 3LJ
Royal Free Hospital,The Royal Free Hampstead NHS Trust,Pond Street,,London,,NW3 2QG
Royal Hampshire County Hospital,Winchester & Eastleigh NHS Trust,Romsey Road,,Winchester,,SO22 5DG
Royal Liverpool University Hospital,Prescot St  ,,,Liverpool,,L7 8XP
Royal London Hospital,Whitechapel Road ,,,London,,E1 1BB
Royal National Orthopaedic Hospital NHS Trust,Brockley Hill,,,Stanmore,,HA7 4LP
"Royal National Throat, Nose and Ear Hospital",The Royal Free Hampstead NHS Trust,330 Gray's Inn Road,,London,,WC1X 8DA
Royal Surrey County Hospital NHS Trust,Egerton Road,,,Guildford,,GU2 7XX
Royal Sussex County Hospital,Eastern Rd  ,,,Brighton,,BN2 5BE
Royal United Hospital Bath NHS Trust,Coombe Park,,,Bath,,BA1 3NG
Royal Victoria Hospital,Grosvenor Rd  ,,,Belfast,,BT12 6BA
Royal Victoria Infirmary,Queen Victoria Rd  ,,,Newcastle upon Tyne,,NE1 4LP
Salisbury District Hospital,Salisbury Healthcare NHS Trust,Odstock Road,,Salisbury,,SP2 8BJ
Sandwell MRI Centre,Sandwell General Hospital,Lyndon,,West Bromwich,,B71 4HJ
Santa Maria Hospital,Ffynone Road,,,Swansea,,SA1 6DF
Shropshire MRI Centre,Princess Royal Hospital,Apley Castle,,Tlford,,TF6 6TF
Shropshire Nuffield Hospital,Longden Road,,,Shrewsbury,,SY3 9DP
Sidcup MRI Centre,Queen Mary's Hospital,Frognal Avenue,,Sidcup,,DA14 6LT
Singleton Hospital,Swansea NHS Trust,Sketty Lane,Sketty,Swansea,,SA2 8QA
Sketchley Hall,Manor Way,Sketchley Village,,Burbage,,LE10 3HT
Sloane Square Chiropractors,9a Wilbraham Place,,,London,,SW1X 9AE
Solihull Chiropractic Clinic,2 Northbrook Road,Shirley,,Solihull,,B90 3NT
Somerset MRI Centre,Marsh Lane,,,Nr. Bridgewater,,TA6 6LQ
Somerset Nuffield Hospital,Staplegorve Elm,,,Taunton,,TA2 6AN
South Tees Hospitals NHS Foundation Trust,,,,Middlesbrough,,TS4 3BW
Southampton General Hospital,Southampton University Hospitals NHS Trust,Tremona Road,,Southampton,,SO16 4YD
Southend University Hospital,Prittlewell Chase  ,,,Southend-on-Sea,,SS0 0RY
Southport and Ormskirk Hospital NHS Trust,Town Ln  ,,,Southport,,PR8 6PN
Springfield Hospital,Lawn Lane,Springfield,,Chelmsford,,CM1 7GU
St Anthony's Hospital,801 London Road  ,Cheam  ,,North Cheam,,SM3 9DW
St Bartholomew's Hospital,West Smithfield ,,,London,,EC1A 7BE
St George's University Hospitals NHS Foundation Trust,Blackshaw Rd  ,,,London,,SW17 0QT
St Helier Hospital,Wrythe Lane  ,Carshalton  ,,Surrey,,SM5 1AA
St Thomas' Hospital,Westminster Bridge Road,,,London,,SE1 7EH
St. Hugh's Hospital,Peaks lane,,,Grimsby,,DN32 9RP
St. James's University Hospital,Leeds Teaching Hospitals NHS Trust,Beckett Street,,Leeds,,LS9 7TF
St. Joseph's Hospital,Sisters of St. Joseph of Annecy,Harding Avenue,Malpas,Newport,,NP9 6ZE
St. Mary's Hospital NHS Trust,Lindo Wing,Praed Street,,London,,W2 1NY
Stirling Royal Infirmary,Livilands,,,Stirling,,FK8 2AU
Stockport Imaging Centre,Stepping Hill Hospital,Poplar Grove,,Stockport,,SK2 7JE
Stoke Mandeville Hospital NHS Trust,National Spinal Injuries Centre,Mandeville Road,,Aylesbury,,HP21 8AL
Suffolk Nuffield Hospital at,Foxhall Road,,,Ipswich,,IP4 5SW
Suffolk Nuffield Hospital at Christchurch Park,57-61 Fonnereau Road,,,Ipswich,,IP1 3JN
Sussex MRI Centre,Princess Royal Hospital,Lewes Road,,Haywards Heath,,RH16 4EX
Sussex Nuffield Hospital,Warren Road,Woodingdean,,Brighton,,BN2 6DX
Teddington Memorial Hospital,Private Breast Clinic,Hampton Road,,Teddington,,TW11 0JL
Thames Valley Nuffield Hospital,Wexham Street,,,Wexham,,SL3 6NH
Thanet MRI Centre,Queen Elizabeth the Queen Mother Hospital,St Peter's Road,,Margate,,CT9 4AN
The Acland Hospital,25 Banbury Road,,,Oxford,,OX2 6PD
The Anna Freud Centre,21 Maresfield Gardens,,,London,,NW3 5SD
The Berkshire Independent Hospital,Wensley Road,Coley Park,,Reading,,RG1 6UZ
The Blackheath Hospital,40 - 42 Lee Terrace  ,Blackheath  ,,London,,SE3 9UD
The Cleveland Clinic,33 Grosvenor Place  ,,,London,,SW1X 7HY
The Evelyn Hospital,4 Trumpington Road,,,Cambridge,,CB2 2AF
The Fotheringhay Suite,Lilford Floor,Kettering General Hospital NHS Trust,Rothwell Road,Northants,,NN16 8UZ
The Gainsborough Clinic,22 Barkham Terrace,Lambeth Road,,London,,SE1 7PW
The Harley Street Clinic,35 Weymouth Street ,,,London,,W1G 8BJ
